h;neff1;neff2
0,248000;3,442775;3,321160
0,249000;3,443221;3,322613
0,250000;3,443662;3,324048
0,251000;3,444098;3,325465
0,252000;3,444529;3,326865
0,253000;3,444955;3,328248
0,254000;3,445377;3,329615
0,255000;3,468181;3,388863
0,256000;3,468423;3,389729
0,257000;3,468663;3,390584
0,258000;3,468900;3,391429
0,259000;3,447413;3,336209
0,260000;3,447807;3,337482
0,261000;3,448196;3,338740
0,262000;3,448581;3,339983
0,263000;3,448962;3,341212
0,264000;3,449338;3,342426
0,265000;3,449711;3,343627
0,266000;3,450079;3,344814
0,267000;3,450443;3,345988
0,268000;3,450804;3,347148
0,269000;3,471338;3,400115
0,270000;3,471546;3,400853
0,271000;3,471751;3,401582
0,272000;3,452207;3,351659
0,273000;3,452549;3,352756
0,274000;3,452887;3,353840
0,275000;3,453221;3,354913
0,276000;3,453552;3,355973
0,277000;3,453880;3,357022
0,278000;3,454204;3,358060
0,279000;3,454524;3,359086
0,280000;3,454841;3,360101
0,281000;3,455155;3,361106
0,282000;3,455466;3,362099
0,283000;3,455774;3,363082
0,284000;3,456078;3,364054
0,285000;3,474407;3,411002
0,286000;3,474582;3,411623
0,287000;3,456973;3,366909
0,288000;3,457265;3,367841
0,289000;3,457554;3,368762
0,290000;3,457840;3,369675
0,291000;3,458124;3,370577
0,292000;3,458405;3,371471
0,293000;3,458682;3,372355
0,294000;3,458958;3,373230
0,295000;3,459230;3,374096
0,296000;3,459500;3,374953
0,297000;3,459767;3,375801
0,298000;3,460031;3,376641
0,299000;3,460293;3,377472
0,300000;3,460552;3,378295
0,301000;3,460809;3,379110
0,302000;3,461063;3,379916
0,303000;3,422239;0,994684
0,304000;3,461565;3,381505
0,305000;3,461812;3,382287
0,306000;3,462056;3,383062
0,307000;3,462299;3,383829
0,308000;3,462539;3,384589
0,309000;3,462776;3,385341
0,310000;3,463012;3,386086
0,311000;3,463245;3,386823
0,312000;3,463476;3,387553
0,313000;3,463705;3,388277
0,314000;3,463932;3,388993
0,315000;3,464157;3,389703
0,316000;3,464380;3,390405
0,317000;3,464600;3,391101
0,318000;3,464819;3,391790
0,319000;3,465035;3,392473
0,320000;3,465250;3,393149
0,321000;3,465462;3,393819
0,322000;3,431035;0,994647
0,323000;3,431456;0,994665
0,324000;3,431873;0,994698
0,325000;3,466294;3,396437
0,326000;3,466497;3,397076
0,327000;3,466698;3,397709
0,328000;3,466898;3,398337
0,329000;3,467095;3,398958
0,330000;3,467291;3,399574
0,331000;3,467486;3,400185
0,332000;3,467678;3,400790
0,333000;3,467869;3,401389
0,334000;3,468058;3,401983
0,335000;3,468246;3,402571
0,336000;3,468432;3,403155
0,337000;3,468616;3,403732
0,338000;3,468799;3,404305
0,339000;3,468980;3,404873
0,340000;3,469159;3,405436
0,341000;3,469337;3,405993
0,342000;3,438780;0,994555
0,343000;3,439132;0,994587
0,344000;3,439482;0,994619
0,345000;3,439828;0,994636
0,346000;3,440172;0,994667
0,347000;3,440513;0,994698
0,348000;3,440850;0,994728
0,349000;3,470707;3,410282
0,350000;3,470872;3,410797
0,351000;3,471036;3,411308
0,352000;3,471198;3,411815
0,353000;3,471358;3,412317
0,354000;3,471518;3,412815
0,355000;3,471676;3,413308
0,356000;3,471833;3,413798
0,357000;3,471988;3,414283
0,358000;3,472142;3,414764
0,359000;3,472295;3,415241
0,360000;3,472447;3,415715
0,361000;3,472597;3,416184
0,362000;3,472747;3,416649
0,363000;3,472895;3,417110
0,364000;3,473041;3,417568
0,365000;3,473187;3,418022
0,366000;3,446472;0,994490
0,367000;3,446760;0,994520
0,368000;3,447046;0,994550
0,369000;3,447330;0,994580
0,370000;3,447612;0,994609
0,371000;3,447892;0,994625
0,372000;3,448169;0,994654
0,373000;3,448444;0,994683
0,374000;3,448717;0,994711
0,375000;3,448987;0,994739
0,376000;3,474714;3,422775
0,377000;3,474847;3,423187
0,378000;3,474978;3,423595
0,379000;3,475108;3,424000
0,380000;3,475237;3,424402
0,381000;3,475366;3,424800
0,382000;3,475493;3,425195
0,383000;3,475619;3,425588
0,384000;3,475745;3,425977
0,385000;3,475869;3,426363
0,386000;3,475993;3,426746
0,387000;3,476115;3,427126
0,388000;3,476237;3,427503
0,389000;3,476357;3,427878
0,390000;3,476477;3,428249
0,391000;3,476596;3,428617
0,392000;3,476714;3,428983
0,393000;3,453516;0,994396
0,394000;3,453750;0,994424
0,395000;3,453982;0,994453
0,396000;3,454212;0,994481
0,397000;3,454440;0,994509
0,398000;3,454667;0,994536
0,399000;3,454892;0,994564
0,400000;3,455116;0,994591
0,401000;3,455338;0,994606
0,402000;3,455558;0,994633
0,403000;3,455777;0,994659
0,404000;3,455994;0,994686
0,405000;3,456209;0,994712
0,406000;3,456423;0,994738
0,407000;3,456635;0,994764
0,408000;3,456846;0,994790
0,409000;3,478590;3,434792
0,410000;3,478693;3,435111
0,411000;3,478796;3,435428
0,412000;3,478897;3,435743
0,413000;3,478998;3,436055
0,414000;3,479099;3,436365
0,415000;3,479198;3,436673
0,416000;3,479297;3,436978
0,417000;3,479395;3,437281
0,418000;3,479493;3,437582
0,419000;3,479590;3,437881
0,420000;3,479686;3,438178
0,421000;3,479781;3,438473
0,422000;3,479876;3,438765
0,423000;3,479970;3,439056
0,424000;3,480064;3,439344
0,425000;3,460205;0,994303
0,426000;3,460391;0,994330
0,427000;3,460575;0,994357
0,428000;3,460758;0,994383
0,429000;3,460939;0,994409
0,430000;3,461119;0,994435
0,431000;3,461298;0,994461
0,432000;3,461476;0,994487
0,433000;3,461653;0,994512
0,434000;3,461828;0,994538
0,435000;3,462002;0,994551
0,436000;3,462175;0,994576
0,437000;3,462347;0,994601
0,438000;3,462517;0,994626
0,439000;3,462687;0,994651
0,440000;3,462855;0,994675
0,441000;3,463022;0,994699
0,442000;3,463188;0,994723
0,443000;3,463353;0,994747
0,444000;3,463517;0,994771
0,445000;3,463680;0,994795
0,446000;3,463842;0,994818
0,447000;3,464002;0,994841
0,448000;3,482125;3,445694
0,449000;3,482204;3,445937
0,450000;3,482282;3,446178
0,451000;3,482360;3,446417
0,452000;3,482437;3,446655
0,453000;3,482514;3,446891
0,454000;3,482590;3,447126
0,455000;3,482666;3,447359
0,456000;3,482741;3,447591
0,457000;3,482816;3,447820
0,458000;3,482891;3,448049
0,459000;3,482964;3,448276
0,460000;3,483038;3,448501
0,461000;3,466143;0,994149
0,462000;3,466288;0,994175
0,463000;3,466433;0,994200
0,464000;3,466577;0,994225
0,465000;3,466719;0,994250
0,466000;3,466861;0,994275
0,467000;3,467002;0,994299
0,468000;3,467142;0,994324
0,469000;3,467282;0,994348
0,470000;3,467420;0,994372
0,471000;3,467557;0,994396
0,472000;3,467694;0,994420
0,473000;3,467829;0,994443
0,474000;3,467964;0,994467
0,475000;3,468098;0,994490
0,476000;3,468231;0,994513
0,477000;3,468364;0,994526
0,478000;3,468495;0,994549
0,479000;3,468626;0,994572
0,480000;3,468756;0,994594
0,481000;3,468885;0,994617
0,482000;3,469013;0,994639
0,483000;3,469141;0,994662
0,484000;3,469267;0,994684
0,485000;3,469393;0,994706
0,486000;3,469519;0,994728
0,487000;3,469643;0,994749
0,488000;3,469767;0,994771
0,489000;3,469889;0,994792
0,490000;3,470012;0,994814
0,491000;3,470133;0,994835
0,492000;3,470254;0,994856
0,493000;3,470374;0,994877
0,494000;3,470493;0,994898
0,495000;3,485335;3,455550
0,496000;3,485394;3,455729
0,497000;3,485452;3,455908
0,498000;3,485510;3,456085
0,499000;3,485568;3,456262
0,500000;3,485625;3,456437
