h;neff1;neff2
0,005000;3,425434;3,193552
0,006000;3,425447;3,193620
0,007000;3,425893;3,195512
0,008000;3,423723;3,186381
0,009000;3,426145;3,196607
0,010000;3,425525;3,194014
0,011000;3,426617;3,198634
0,012000;3,425578;3,194285
0,013000;3,425176;3,192616
0,014000;3,426070;3,196407
0,015000;3,425676;3,194781
0,016000;3,423963;3,187603
0,017000;3,428265;3,205727
0,018000;3,424490;3,189895
0,019000;3,427525;3,202692
0,020000;3,425885;3,195844
0,021000;3,423298;3,185006
0,022000;3,424686;3,190890
0,023000;3,425609;3,194820
0,024000;3,426094;3,196904
0,025000;3,426151;3,197197
0,026000;3,425783;3,195707
0,027000;3,424981;3,192396
0,028000;3,423722;3,187173
0,029000;3,428273;3,206314
0,030000;3,426470;3,198826
0,031000;3,424159;3,189208
0,032000;3,428271;3,206495
0,033000;3,432060;3,222376
0,034000;3,429222;3,210602
0,035000;3,425778;3,196283
0,036000;3,421614;3,178936
0,037000;3,425297;3,194432
0,038000;3,420386;3,173976
0,039000;3,423937;3,188923
0,040000;3,418153;3,164825
0,041000;3,421624;3,179454
0,042000;3,424881;3,193147
0,043000;3,427940;3,205981
0,044000;3,421469;3,179129
0,045000;3,433527;3,229351
0,046000;3,427401;3,204031
0,047000;3,430119;3,215412
0,048000;3,422830;3,185260
0,049000;3,425596;3,196866
0,050000;3,428218;3,207843
0,051000;3,430704;3,218237
0,052000;3,433064;3,228088
0,053000;3,424962;3,194723
0,054000;3,427416;3,204994
0,055000;3,429753;3,214758
0,056000;3,431979;3,224047
0,057000;3,434103;3,232892
0,058000;3,424912;3,195196
0,059000;3,427168;3,204626
0,060000;3,429325;3,213628
0,061000;3,431388;3,222226
0,062000;3,420436;3,177393
0,063000;3,422674;3,186763
0,064000;3,437070;3,245832
0,065000;3,438810;3,253040
0,066000;3,428856;3,212562
0,067000;3,430755;3,220461
0,068000;3,432580;3,228041
0,069000;3,434334;3,235319
0,070000;3,436022;3,242312
0,071000;3,437646;3,249032
0,072000;3,439210;3,255495
0,073000;3,440717;3,261713
0,074000;3,429507;3,216506
0,075000;3,431199;3,223518
0,076000;3,432830;3,230274
0,077000;3,434406;3,236788
0,078000;3,435927;3,243071
0,079000;3,437397;3,249133
0,080000;3,423660;3,194081
0,081000;3,425357;3,201118
0,082000;3,441519;3,266096
0,083000;3,428587;3,214489
0,084000;3,430125;3,220843
0,085000;3,431615;3,226990
0,086000;3,433059;3,232937
0,087000;3,434458;3,238695
0,088000;3,435814;3,244269
0,089000;3,437129;3,249669
0,090000;3,438405;3,254901
0,091000;3,422370;3,191635
0,092000;3,440845;3,264889
0,093000;3,425386;3,204063
0,094000;3,426829;3,210000
0,095000;3,444245;3,278774
0,096000;3,429595;3,221356
0,097000;3,446353;3,287363
0,098000;3,432209;3,232063
0,099000;3,448346;3,295466
0,100000;3,434683;3,242171
0,101000;3,414268;3,163138
0,102000;3,437026;3,251722
0,103000;3,417284;3,175523
0,104000;3,439247;3,260757
0,105000;3,420147;3,187244
0,106000;3,441355;3,269312
0,107000;3,442368;3,273420
0,108000;3,424175;3,203680
0,109000;3,444319;3,281316
0,110000;3,426696;3,213935
0,111000;3,446174;3,288810
0,112000;3,429096;3,223671
0,113000;3,430253;3,228355
0,114000;3,431382;3,232922
0,115000;3,432485;3,237376
0,116000;3,433561;3,241721
0,117000;3,434612;3,245960
0,118000;3,435640;3,250095
0,119000;3,452749;3,315266
0,120000;3,437624;3,258072
0,121000;3,438582;3,261920
0,122000;3,414687;3,173673
0,123000;3,440434;3,269346
0,124000;3,441330;3,272930
0,125000;3,418439;3,188743
0,126000;3,443062;3,279855
0,127000;3,443900;3,283200
0,128000;3,421954;3,202799
0,129000;3,445523;3,289668
0,130000;3,446308;3,292794
0,131000;3,425250;3,215931
0,132000;3,426304;3,220117
0,133000;3,448566;3,301769
0,134000;3,449288;3,304633
0,135000;3,429335;3,232137
0,136000;3,430305;3,235973
0,137000;3,451365;3,312863
0,138000;3,432187;3,243404
0,139000;3,433100;3,247003
0,140000;3,433995;3,250527
0,141000;3,453944;3,323057
0,142000;3,435732;3,257359
0,143000;3,436576;3,260672
0,144000;3,437403;3,263917
0,145000;3,456326;3,332445
0,146000;3,439011;3,270213
0,147000;3,439792;3,273268
0,148000;3,440558;3,276263
0,149000;3,441310;3,279199
0,150000;3,442048;3,282077
0,151000;3,442773;3,284901
0,152000;3,443484;3,287670
0,153000;3,444182;3,290386
0,154000;3,416118;3,196133
0,155000;3,445541;3,295665
0,156000;3,446202;3,298231
0,157000;3,446851;3,300748
0,158000;3,447489;3,303220
0,159000;3,421020;3,214862
0,160000;3,448731;3,308027
0,161000;3,449335;3,310365
0,162000;3,449930;3,312660
0,163000;3,450514;3,314915
0,164000;3,425511;3,231914
0,165000;3,451652;3,319304
0,166000;3,452206;3,321441
0,167000;3,452751;3,323540
0,168000;3,453288;3,325602
0,169000;3,429636;3,247483
0,170000;3,430420;3,250435
0,171000;3,454843;3,331578
0,172000;3,455344;3,333502
0,173000;3,455837;3,335394
0,174000;3,433432;3,261737
0,175000;3,434154;3,264443
0,176000;3,434866;3,267103
0,177000;3,435566;3,269718
0,178000;3,458186;3,344387
0,179000;3,458634;3,346097
0,180000;3,437600;3,277305
0,181000;3,438257;3,279752
0,182000;3,438904;3,282158
0,183000;3,439541;3,284524
0,184000;3,440168;3,286853
0,185000;3,461175;3,355793
0,186000;3,441393;3,291398
0,187000;3,441992;3,293617
0,188000;3,442582;3,295800
0,189000;3,443163;3,297949
0,190000;3,443736;3,300064
0,191000;3,444300;3,302146
0,192000;3,463858;3,365994
0,193000;3,445403;3,306214
0,194000;3,445942;3,308201
0,195000;3,446474;3,310158
0,196000;3,446998;3,312085
0,197000;3,447514;3,313983
0,198000;3,448023;3,315852
0,199000;3,448524;3,317694
0,200000;3,466600;3,376384
0,201000;3,449506;3,321295
0,202000;3,449987;3,323055
0,203000;3,450460;3,324790
0,204000;3,450928;3,326499
0,205000;3,451388;3,328184
0,206000;3,451843;3,329844
0,207000;3,452291;3,331480
0,208000;3,419573;3,244333
0,209000;3,453168;3,334682
0,210000;3,453598;3,336249
0,211000;3,454022;3,337794
0,212000;3,454441;3,339317
0,213000;3,454853;3,340819
0,214000;3,455260;3,342300
0,215000;3,455662;3,343761
0,216000;3,456059;3,345201
0,217000;3,425876;3,265462
0,218000;3,426530;3,267646
0,219000;3,457217;3,349404
0,220000;3,457593;3,350767
0,221000;3,457964;3,352112
0,222000;3,458330;3,353438
0,223000;3,458692;3,354747
0,224000;3,459049;3,356039
0,225000;3,459401;3,357313
0,226000;3,431473;3,284063
0,227000;3,432056;3,285992
0,228000;3,432631;3,287894
0,229000;3,433200;3,289771
0,230000;3,461097;3,363438
0,231000;3,461424;3,364615
0,232000;3,461746;3,365778
0,233000;3,462065;3,366925
0,234000;3,462379;3,368058
0,235000;3,462690;3,369177
0,236000;3,436986;3,302238
0,237000;3,437501;3,303927
0,238000;3,438010;3,305595
0,239000;3,438512;3,307242
0,240000;3,439009;3,308867
0,241000;3,439499;3,310472
0,242000;3,464762;3,376623
0,243000;3,465044;3,377635
0,244000;3,465323;3,378634
0,245000;3,465598;3,379621
0,246000;3,465870;3,380596
0,247000;3,442323;3,319690
