h;neff1;neff2
0,398000;3,424522;3,188855
0,399000;3,424522;3,188855
0,400000;3,424722;3,189818
0,401000;3,424722;3,189818
0,402000;3,424722;3,189818
0,403000;3,424722;3,189818
0,404000;3,424722;3,189818
0,405000;3,422760;3,181684
0,406000;3,424857;3,190482
0,407000;3,424857;3,190482
0,408000;3,424857;3,190482
0,409000;3,424857;3,190482
0,410000;3,424991;3,191142
0,411000;3,424991;3,191142
0,412000;3,424991;3,191142
0,413000;3,424991;3,191142
0,414000;3,424991;3,191142
0,415000;3,422947;3,182641
0,416000;3,425081;3,191597
0,417000;3,425081;3,191597
0,418000;3,425081;3,191597
0,419000;3,425081;3,191597
0,420000;3,425170;3,192050
0,421000;3,425170;3,192050
0,422000;3,425170;3,192050
0,423000;3,425170;3,192050
0,424000;3,425170;3,192050
0,425000;3,423072;3,183296
0,426000;3,425230;3,192361
0,427000;3,425230;3,192361
0,428000;3,425230;3,192361
0,429000;3,425230;3,192361
0,430000;3,425289;3,192671
0,431000;3,425289;3,192671
0,432000;3,425289;3,192671
0,433000;3,425289;3,192671
0,434000;3,425289;3,192671
0,435000;3,423155;3,183745
0,436000;3,425329;3,192884
0,437000;3,425329;3,192884
0,438000;3,425329;3,192884
0,439000;3,425329;3,192884
0,440000;3,425369;3,193096
0,441000;3,425369;3,193096
0,442000;3,425369;3,193096
0,443000;3,425369;3,193096
0,444000;3,425369;3,193096
0,445000;3,423210;3,184052
0,446000;3,425395;3,193241
0,447000;3,425395;3,193241
0,448000;3,425395;3,193241
0,449000;3,425395;3,193241
0,450000;3,425421;3,193387
0,451000;3,425421;3,193387
0,452000;3,425421;3,193387
0,453000;3,425421;3,193387
0,454000;3,425421;3,193387
0,455000;3,427538;3,202310
0,456000;3,425439;3,193486
0,457000;3,425439;3,193486
0,458000;3,425439;3,193486
0,459000;3,425439;3,193486
0,460000;3,425456;3,193585
0,461000;3,425456;3,193585
0,462000;3,425456;3,193585
0,463000;3,425456;3,193585
0,464000;3,425456;3,193585
0,465000;3,427571;3,202498
0,466000;3,425468;3,193653
0,467000;3,425468;3,193653
0,468000;3,425468;3,193653
0,469000;3,425468;3,193653
0,470000;3,425479;3,193721
0,471000;3,425479;3,193721
0,472000;3,425479;3,193721
0,473000;3,425479;3,193721
0,474000;3,425479;3,193721
0,475000;3,427593;3,202626
0,476000;3,425487;3,193767
0,477000;3,425487;3,193767
0,478000;3,425487;3,193767
0,479000;3,425487;3,193767
0,480000;3,425495;3,193814
0,481000;3,425495;3,193814
0,482000;3,425495;3,193814
0,483000;3,425495;3,193814
0,484000;3,425495;3,193814
0,485000;3,423298;3,184572
0,486000;3,425500;3,193846
0,487000;3,425500;3,193846
0,488000;3,425500;3,193846
0,489000;3,425500;3,193846
0,490000;3,425505;3,193877
0,491000;3,425505;3,193877
0,492000;3,425505;3,193877
0,493000;3,425505;3,193877
0,494000;3,425505;3,193877
0,495000;3,423305;3,184619
0,496000;3,425508;3,193899
0,497000;3,425508;3,193899
0,498000;3,425508;3,193899
0,499000;3,425508;3,193899
0,500000;3,425512;3,193921
