h;neff1;neff2
0,301000;3,395878;3,062675
0,302000;3,395878;3,062675
0,303000;3,395878;3,062675
0,304000;3,395878;3,062675
0,305000;3,399370;3,078110
0,306000;3,399370;3,078110
0,307000;3,399370;3,078110
0,308000;3,399370;3,078110
0,309000;3,399370;3,078110
0,310000;3,402688;3,092721
0,311000;3,402688;3,092721
0,312000;3,402688;3,092721
0,313000;3,402688;3,092721
0,314000;3,402688;3,092721
0,315000;3,405582;3,105421
0,316000;3,405713;3,105996
0,317000;3,405713;3,105996
0,318000;3,405713;3,105996
0,319000;3,405713;3,105996
0,320000;3,408599;3,118616
0,321000;3,408599;3,118616
0,322000;3,408599;3,118616
0,323000;3,408599;3,118616
0,324000;3,408599;3,118616
0,325000;3,410590;3,127326
0,326000;3,411033;3,129243
0,327000;3,411033;3,129243
0,328000;3,411033;3,129243
0,329000;3,411033;3,129243
0,330000;3,413371;3,139422
0,331000;3,413371;3,139422
0,332000;3,413371;3,139422
0,333000;3,413371;3,139422
0,334000;3,413371;3,139422
0,335000;3,416023;3,150926
0,336000;3,415218;3,147481
0,337000;3,415218;3,147481
0,338000;3,415218;3,147481
0,339000;3,415218;3,147481
0,340000;3,417006;3,155266
0,341000;3,417006;3,155266
0,342000;3,417006;3,155266
0,343000;3,417006;3,155266
0,344000;3,417006;3,155266
0,345000;3,417179;3,156190
0,346000;3,418349;3,161152
0,347000;3,418349;3,161152
0,348000;3,418349;3,161152
0,349000;3,418349;3,161152
0,350000;3,419659;3,166882
0,351000;3,419659;3,166882
0,352000;3,419659;3,166882
0,353000;3,419659;3,166882
0,354000;3,419659;3,166882
0,355000;3,419144;3,164911
0,356000;3,420606;3,171076
0,357000;3,420606;3,171076
0,358000;3,420606;3,171076
0,359000;3,420606;3,171076
0,360000;3,421535;3,175185
0,361000;3,421535;3,175185
0,362000;3,421535;3,175185
0,363000;3,421535;3,175185
0,364000;3,421535;3,175185
0,365000;3,420503;3,171042
0,366000;3,422189;3,178126
0,367000;3,422189;3,178126
0,368000;3,422189;3,178126
0,369000;3,422189;3,178126
0,370000;3,422835;3,181022
0,371000;3,422835;3,181022
0,372000;3,422835;3,181022
0,373000;3,422835;3,181022
0,374000;3,422835;3,181022
0,375000;3,421431;3,175308
0,376000;3,423280;3,183063
0,377000;3,423280;3,183063
0,378000;3,423280;3,183063
0,379000;3,423280;3,183063
0,380000;3,423721;3,185082
0,381000;3,423721;3,185082
0,382000;3,423721;3,185082
0,383000;3,423721;3,185082
0,384000;3,423721;3,185082
0,385000;3,422058;3,178258
0,386000;3,424021;3,186490
0,387000;3,424021;3,186490
0,388000;3,424021;3,186490
0,389000;3,424021;3,186490
0,390000;3,424320;3,187888
0,391000;3,424320;3,187888
0,392000;3,424320;3,187888
0,393000;3,424320;3,187888
0,394000;3,424320;3,187888
0,395000;3,422478;3,180289
0,396000;3,424522;3,188855
0,397000;3,424522;3,188855
